"US_ID","Tipo","Categoria","Descripcion","Correccion"
"9502","A","TCS_SIN_TP_COMPLETE","Tiene 1 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"9817","A","TCS_SIN_TP_COMPLETE","Tiene 6 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"9851","A","TCS_SIN_TP_COMPLETE","Tiene 1 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"9852","A","TCS_SIN_TP_COMPLETE","Tiene 1 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"9892","A","TCS_SIN_TP_COMPLETE","Tiene 7 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"9893","A","TCS_SIN_TP_COMPLETE","Tiene 9 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"9940","A","TCS_SIN_TP_COMPLETE","Tiene 3 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"9947","A","TCS_SIN_TP_COMPLETE","Tiene 10 TCs pero TestPlanCompleted = False","Setear TestPlanCompleted = True"
"10800","B","US_CLOSED_TAREAS_ACTIVE","US Closed pero tareas QA no Closed: 11107, 11110, 11109, 11108","Requiere intervención"
"9502","A","TC_NO_READY","TC 10049 en estado 'Closed' (debe ser Ready)","Cambiar TC 10049 a estado Ready"
"9502","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9547","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9803","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9817","A","TC_NO_READY","TC 10283 en estado 'Design' (debe ser Ready)","Cambiar TC 10283 a estado Ready"
"9817","A","TC_NO_READY","TC 10284 en estado 'Design' (debe ser Ready)","Cambiar TC 10284 a estado Ready"
"9817","A","TC_NO_READY","TC 10286 en estado 'Design' (debe ser Ready)","Cambiar TC 10286 a estado Ready"
"9817","A","TC_NO_READY","TC 10282 en estado 'Design' (debe ser Ready)","Cambiar TC 10282 a estado Ready"
"9817","A","TC_NO_READY","TC 10285 en estado 'Design' (debe ser Ready)","Cambiar TC 10285 a estado Ready"
"9817","A","TC_NO_READY","TC 10287 en estado 'Design' (debe ser Ready)","Cambiar TC 10287 a estado Ready"
"9817","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9838","A","TC_NO_READY","TC 10700 en estado 'Closed' (debe ser Ready)","Cambiar TC 10700 a estado Ready"
"9838","A","TC_NO_READY","TC 10701 en estado 'Closed' (debe ser Ready)","Cambiar TC 10701 a estado Ready"
"9838","A","TC_NO_READY","TC 10702 en estado 'Closed' (debe ser Ready)","Cambiar TC 10702 a estado Ready"
"9851","A","TC_NO_READY","TC 10176 en estado 'Design' (debe ser Ready)","Cambiar TC 10176 a estado Ready"
"9851","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9852","A","TC_NO_READY","TC 10193 en estado 'Design' (debe ser Ready)","Cambiar TC 10193 a estado Ready"
"9852","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9856","A","TC_NO_READY","TC 10238 en estado 'Design' (debe ser Ready)","Cambiar TC 10238 a estado Ready"
"9856","A","TC_NO_READY","TC 10236 en estado 'Design' (debe ser Ready)","Cambiar TC 10236 a estado Ready"
"9856","A","TC_NO_READY","TC 10235 en estado 'Design' (debe ser Ready)","Cambiar TC 10235 a estado Ready"
"9856","A","TC_NO_READY","TC 10666 en estado 'Closed' (debe ser Ready)","Cambiar TC 10666 a estado Ready"
"9856","A","TC_NO_READY","TC 10237 en estado 'Design' (debe ser Ready)","Cambiar TC 10237 a estado Ready"
"9856","A","TC_NO_READY","TC 10669 en estado 'Closed' (debe ser Ready)","Cambiar TC 10669 a estado Ready"
"9856","A","TC_NO_READY","TC 10234 en estado 'Design' (debe ser Ready)","Cambiar TC 10234 a estado Ready"
"9856","A","TC_NO_READY","TC 10668 en estado 'Closed' (debe ser Ready)","Cambiar TC 10668 a estado Ready"
"9856","A","TC_NO_READY","TC 10667 en estado 'Closed' (debe ser Ready)","Cambiar TC 10667 a estado Ready"
"9856","A","TC_NO_READY","TC 10233 en estado 'Design' (debe ser Ready)","Cambiar TC 10233 a estado Ready"
"9856","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9873","A","TC_NO_READY","TC 10626 en estado 'Design' (debe ser Ready)","Cambiar TC 10626 a estado Ready"
"9873","B","TC_NOMENCLATURA","TC 10626 no sigue nomenclatura estándar: '[Asignación Automática] - Asignación a Dealer (Sin Banco)'","Revisar si el título sigue Portal-Módulo-Pantalla-Funcionalidad [Escenario]"
"9873","A","TC_NO_READY","TC 10672 en estado 'Closed' (debe ser Ready)","Cambiar TC 10672 a estado Ready"
"9873","A","TC_NO_READY","TC 10628 en estado 'Design' (debe ser Ready)","Cambiar TC 10628 a estado Ready"
"9873","B","TC_NOMENCLATURA","TC 10628 no sigue nomenclatura estándar: '[Asignación Automática] - Sin Dealer ni Banco (Sin asignación automática)'","Revisar si el título sigue Portal-Módulo-Pantalla-Funcionalidad [Escenario]"
"9873","A","TC_NO_READY","TC 10671 en estado 'Closed' (debe ser Ready)","Cambiar TC 10671 a estado Ready"
"9873","A","TC_NO_READY","TC 10627 en estado 'Design' (debe ser Ready)","Cambiar TC 10627 a estado Ready"
"9873","B","TC_NOMENCLATURA","TC 10627 no sigue nomenclatura estándar: '[Asignación Automática] - Solo Banco (Sin asignación automática)'","Revisar si el título sigue Portal-Módulo-Pantalla-Funcionalidad [Escenario]"
"9873","A","TC_NO_READY","TC 10629 en estado 'Design' (debe ser Ready)","Cambiar TC 10629 a estado Ready"
"9873","B","TC_NOMENCLATURA","TC 10629 no sigue nomenclatura estándar: '[Interfaz] - Visualización de Inputs en Vista Editar'","Revisar si el título sigue Portal-Módulo-Pantalla-Funcionalidad [Escenario]"
"9873","A","TC_NO_READY","TC 10625 en estado 'Design' (debe ser Ready)","Cambiar TC 10625 a estado Ready"
"9873","B","TC_NOMENCLATURA","TC 10625 no sigue nomenclatura estándar: '[Asignación Automática] - Prioridad Banco sobre Dealer'","Revisar si el título sigue Portal-Módulo-Pantalla-Funcionalidad [Escenario]"
"9873","A","TC_NO_READY","TC 10670 en estado 'Closed' (debe ser Ready)","Cambiar TC 10670 a estado Ready"
"9873","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9884","A","TC_NO_READY","TC 10673 en estado 'Design' (debe ser Ready)","Cambiar TC 10673 a estado Ready"
"9884","A","TC_NO_READY","TC 10674 en estado 'Design' (debe ser Ready)","Cambiar TC 10674 a estado Ready"
"9884","A","TC_NO_READY","TC 10424 en estado 'Design' (debe ser Ready)","Cambiar TC 10424 a estado Ready"
"9884","A","TC_NO_READY","TC 10421 en estado 'Design' (debe ser Ready)","Cambiar TC 10421 a estado Ready"
"9884","A","TC_NO_READY","TC 10420 en estado 'Design' (debe ser Ready)","Cambiar TC 10420 a estado Ready"
"9884","A","TC_NO_READY","TC 10431 en estado 'Design' (debe ser Ready)","Cambiar TC 10431 a estado Ready"
"9884","A","TC_NO_READY","TC 10417 en estado 'Design' (debe ser Ready)","Cambiar TC 10417 a estado Ready"
"9884","A","TC_NO_READY","TC 10439 en estado 'Design' (debe ser Ready)","Cambiar TC 10439 a estado Ready"
"9884","A","TC_NO_READY","TC 10422 en estado 'Design' (debe ser Ready)","Cambiar TC 10422 a estado Ready"
"9884","A","TC_NO_READY","TC 10436 en estado 'Design' (debe ser Ready)","Cambiar TC 10436 a estado Ready"
"9884","A","TC_NO_READY","TC 10419 en estado 'Design' (debe ser Ready)","Cambiar TC 10419 a estado Ready"
"9884","A","TC_NO_READY","TC 10416 en estado 'Design' (debe ser Ready)","Cambiar TC 10416 a estado Ready"
"9884","A","TC_NO_READY","TC 10426 en estado 'Design' (debe ser Ready)","Cambiar TC 10426 a estado Ready"
"9884","A","TC_NO_READY","TC 10437 en estado 'Design' (debe ser Ready)","Cambiar TC 10437 a estado Ready"
"9884","A","TC_NO_READY","TC 10438 en estado 'Design' (debe ser Ready)","Cambiar TC 10438 a estado Ready"
"9884","A","TC_NO_READY","TC 10428 en estado 'Design' (debe ser Ready)","Cambiar TC 10428 a estado Ready"
"9884","A","TC_NO_READY","TC 10418 en estado 'Design' (debe ser Ready)","Cambiar TC 10418 a estado Ready"
"9884","A","TC_NO_READY","TC 10423 en estado 'Design' (debe ser Ready)","Cambiar TC 10423 a estado Ready"
"9884","A","TC_NO_READY","TC 10442 en estado 'Design' (debe ser Ready)","Cambiar TC 10442 a estado Ready"
"9892","A","TC_NO_READY","TC 10067 en estado 'Design' (debe ser Ready)","Cambiar TC 10067 a estado Ready"
"9892","A","TC_NO_READY","TC 10678 en estado 'Design' (debe ser Ready)","Cambiar TC 10678 a estado Ready"
"9892","A","TC_NO_READY","TC 10677 en estado 'Design' (debe ser Ready)","Cambiar TC 10677 a estado Ready"
"9892","A","TC_NO_READY","TC 10066 en estado 'Design' (debe ser Ready)","Cambiar TC 10066 a estado Ready"
"9892","A","TC_NO_READY","TC 10069 en estado 'Design' (debe ser Ready)","Cambiar TC 10069 a estado Ready"
"9892","A","TC_NO_READY","TC 10068 en estado 'Design' (debe ser Ready)","Cambiar TC 10068 a estado Ready"
"9892","A","TC_NO_READY","TC 10070 en estado 'Design' (debe ser Ready)","Cambiar TC 10070 a estado Ready"
"9892","B","SIN_DOC_QA","US Closed sin comentario de resultado QA (QA PASSED / QA NOT PASSED)","Agregar comentario con resultado de ejecución y screenshots"
"9940","A","TC_NO_READY","TC 10086 en estado 'Design' (debe ser Ready)","Cambiar TC 10086 a estado Ready"
"9940","A","TC_NO_READY","TC 10084 en estado 'Design' (debe ser Ready)","Cambiar TC 10084 a estado Ready"
