"US ID","Título","SP","TP Complete","Tareas QA","Test Cases","TP Aparente"
"9502","Seguridad: Autenticación (DISTRIBUIDOR)","5","False","4","11","No aparente"
"9511","CO: Generación — número de control único y banner legal - WORKER","8","True","9","1","No aparente"
"9547","Infraestructura Azure:","3","False","3","0","No aparente"
"9803","Grid Expandido: TAB Historial","8","True","8","1","No aparente"
"9817","Vehículos: Grid de Registros Asignación en Lote","5","False","4","6","No aparente"
"9819","Parte 1 Vehículos Grid de Registros Popup: Accion Descargar ALL en LOTE","5","True","8","1","No aparente"
"9838","Grid Expandido: Label, Información y TAB","3","True","7","3","No aparente"
"9851","Infraestructura Azure: Crear Sistema de encolado","5","False","2","1","No aparente"
"9852","Infraestructura Azure: Sistema extracion data con IA","5","False","2","1","No aparente"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","5","True","7","10","No aparente"
"9872","CO: Certificado de Origen - Detectar cambios visibles y Gestionar regeneración al Editar o al Importar Excel que actualice campos del CO.","3","True","6","1","No aparente"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","13","True","8","8","No aparente"
"9877","Vehículos: Envío a PDV - Enviar datos de VIN seleccionados - encolado job","3","True","4","1","No aparente"
"9884","Vehículos: Documentos - Diseñar/Ejecutar de descarga individual por VIN","8","True","6","20","No aparente"
"9892","Catálogos: Documentos - Portal de Distribuidor","3","False","3","7","No aparente"
"9893","Catálogos: Procedencia - Convertir procedencia recibida al código DTOP","1","False","3","9","No aparente"
"9939","Autoreg - Rol Distribuidor desde el Portal","5","True","6","1","No aparente"
"9940","Roles desde Motorambar","2","False","3","3","No aparente"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","5","False","4","10","No aparente"
"10305","Añadir Documentos nuevos tipos de Doc. para Descargar Adicionales Individual y Lote Carta Explicativa Exento de Arbitrios & Otros","3","True","6","2","No aparente"
"10447","DIscutir Documento de Entrgable 1","0","False","0","0","No aparente"
"10449","Parte 2 Vehículos Grid de Registros Popup: Accion Descargar ALL en LOTE Backgorund Services Cola seleccionando mas de un documento más notificaciones.","13","True","10","2","No aparente"
"10451","Vehículos: Envío a PDV - Enviar Documentos de VIN seleccionados - encolado","3","False","1","0","No aparente"
"10460","CO: Generación —Certificado o Firma Digital","5","False","3","0","No aparente"
"10464","Mejora para Actualizar Datos de Vehículos Cada vez que se Cargue el Excel","1","True","4","1","No aparente"
"10528","Validacion Insetar Datos Vehiculo y registro de documento","5","True","10","1","No aparente"
"10578","Mejora del Grid: Filtrar por Location y mover estado del grid a Zustand","8","True","7","4","No aparente"
"10610","Historico Y auditoria asignacion y vehiculos","5","True","8","4","No aparente"
"10708","Logica de asignacion de vehiculos","8","True","10","1","No aparente"
"10709","Búsqueda por tipo de cliente","5","True","6","1","No aparente"
"10710","Manejar idiomas en tabla catalogo","3","False","4","0","No aparente"
"10750","Agregar Checkmark envio de datos y docs","1","False","1","0","No aparente"
"10768","TEST- Vehículos: Envío a PDV - Enviar datos de VIN seleccionados - encolado job","3","True","3","1","No aparente"
"10789","CO: Mostrar en Grid expandido","5","True","6","1","No aparente"
"10799","INFRA: Integracion SDK Azure KeyVault","3","False","3","0","No aparente"
"10800","Agreegar columna asignar a para mostrar el dealer o IF asignada en proceso automático o por pantalla","3","False","6","0","No aparente"
"10801","Funcion Asignar a desde pantalla editar","3","True","6","1","No aparente"
"10886","VehicleDocs | Mostrar descripción de tipo de propulsión y convertir campo de edición a dropdown","3","True","7","1","No aparente"
"10887","VehicleDocs | Rediseño visual del tab “Más información”","3","False","5","0","No aparente"
"10966","Configuracion de settings ","5","False","4","0","No aparente"
"10967","Asignacion de permisos","8","False","6","0","No aparente"
"10971","Editar: Confirmar antes de salir","3","True","4","1","No aparente"
"10972","Editar: Aviso de datos modificado","3","True","3","1","No aparente"
"11015","Vehículo: Control de cambios pendientes en Editar [UX Mejorada]","5","True","7","1","No aparente"
